,brand,category,name,ingredients,details,image_url,id
12,Lancôme,Eyeliner,ARTLINER - Precision Point EyeLiner,Water- Propylene Glycol- Acrylates Copolymer- Polyester-5- Alcohol Denat.- Trilaureth-4 Phosphate- Tin Oxide- Calcium Sodium Borosilicate Silica- Xanthan Gum- Synthetic Fluorphlogopite- Imidazolidinyl Urea- Methylparaben- Sodium Dehydroacetate- Propylparaben- [+/- (May Contain): CI 42090 (Blue 1 Lake)- CI 75470 (Carmine)- CI 77007 (Ultramarines)- CI 77163 (Bismuth Oxychloride)- CI 77288 (Chromium Oxide Greens)- CI 77400 (Bronze Powder)- CI 77491- CI 77492- CI 77499 (Iron Oxides)- CI 77510 (Ferric Ferrocyanide)- CI 77891 (Titanium Dioxide)- Mica].,What it is: A smudge-proof and richly pigmented eyeliner that has a clean and precise application in satin and metallic finishes.What Else You Need to Know: With a unique- double film-forming set of polymers- Artliner creates long-lasting lines with intense color payoff. The felt-tipped pen allows for ultimate precision and is ideal for wings- cat eyes- or a cut-crease makeup look.  ,https://www.sephora.com/productimages/sku/s136952-main-zoom.jpg?imwidth=930,0316601950
13,Lancôme,Face Primer,LA BASE PRO Perfecting Makeup Primer,Cyclopentasiloxane- Dimethicone Crosspolymer.,What it is: An oil-free face primer that creates a smooth makeup base- absorbs quickly- and leaves skin feeling smooth and soft.What Else You Need to Know: Using Lancôme’s Elasto-Smooth technology- this face primer refines skin’s texture and diffuses light.  It reduces the look of imperfections and creates a smooth base. With its oil-free formulation- this product allows makeup to last all day. It’s also suitable for all skin types.,https://www.sephora.com/productimages/sku/s1103779-main-zoom.jpg?imwidth=930,0375727345
14,Lancôme,Eyeliner,LE STYLO WATERPROOF - Long Lasting Eyeliner,Cyclopentasiloxane- Paraffin- PEG-6 Beeswax- Diisostearyl Dimer Dilinoleate- Hydrogenated Castor Oil- Ozokerite- Calcium Stearate- Ceresin- Alumina- Tocopherol- Ascorbyl Palmitate- Methylparaben- Propylparaben- [+/- (May Contain): CI 42090 (Blue 1 Lake)- CI 75470 (Carmine)- CI 77007 (Ultramarines)- CI 77163 (Bismuth Oxychloride)- CI 77288 (Chromium Oxide Greens)- CI 77289 (Chromium Hydroxide Green)- CI 77491- CI 77492- CI 77499 (Iron Oxides)- CI 77510 (Ferric Ferrocyanide)- CI 77742 (Manganese Violet)- CI 77891 (Titanium Dioxide)- Mica].,"What it is:
 A long-wearing- waterproof eyeliner pencil for gorgeous eye looks.

What it does:
 Create a perfectly lined eye—with no worries about it fading. The liner’s smooth texture glides on easily with intense color payoff- and it glides on seamlessly—without tugging—for gorgeous color payoff. Line eyes for day and night looks with its array of jewel-tone shades- or go for the classic neutral colors for enhanced eyes that standout. This eyeliner’s blendable texture allows you to line and smudge your eyes to perfection- and then it sets for a look that lasts for hours.
",https://www.sephora.com/productimages/sku/s2494110-main-zoom.jpg?imwidth=930,044021145X
15,Lancôme,Makeup,Monsieur Big Mascara Mini,Water- Paraffin- Potassium Cetyl Phosphate- Copernicia Cerifera Cera / Carnauba Wax- Ethylene/Acrylic Acid Copolymer- Styrene/Acrylates/Ammonium Methacrylate Copolymer- Cera Alba / Beeswax- Synthetic Beeswax- Bis-Diglyceryl Polyacyladipate-2- Polybutene- Cetyl Alcohol- Steareth-20- Glyceryl Dibehenate- Steareth-2-C12-13 Pareth-23- C12-13 Pareth-3- Tribehenin- Acacia Senegal Gum- Glyceryl Behenate- Sodium Laureth Sulfate- Silica- Divinyldimethicone/Dimethicone Copolymer- Disodium Edta- Hydrogenated Jojoba Oil- Hydrogenated Palm Oil- Hydroxyethylcellulose- Caprylyl Glycol- Tetrasodium Edta- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Butylene Glycol- Bht- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Potassium Sorbate- Sodium Dehydroacetate- Phenoxyethanol- [+/- May Contain- Ci 75470 / Carmine- Ci 77007 / Ultramarines-Ci 77491- Ci 77492- Ci 77499 / Iron Oxides]. ,"What it is:
A high-volume mascara that delivers bold lash volume for up to 24 hours.

What it does:
 The Monsieur Big Mascara features a large brush and an ultra-creamy formula that glides onto lashes like silk and delivers up to 12 times the volume with up to 24 hours of wear. Ideal for all-day wear- this mascara doesn’t require touch-ups and doesn’t flake or smudge. This brush’s unique shape features soft- wavy fibers to deliver the perfect amount of formula with the very first stroke. This ultra-creamy formula has supple waxes and polymers to adhere immediately to lashes for big- buildable volume and length.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

Beauty tip:
To take this mascara to the next level- prep your lashes with CILS BOOSTER XL Lash Primer. Then remove all traces of your mascara with the BI-FACIL Double-Action Eye Remover.

What else you need to know:
 Monsieur Big’s brush has a unique shape with soft- wavy fibers to deliver the perfect amount of formula with the very first stroke. The ultra-creamy formula is infused with supple waxes and polymers to adhere immediately to lashes for bold- buildable volume and length. 

Research results:
 In a consumer panel survey on 110 participants:
- 95% felt that it glides easily onto lashes
- 95% find hat it's comfortable to wear all day long 
- 92% found the color of the mascara very dark/intense
- 91% felt that it made their eyes look bigger
- 90% felt that it really lengthened their lashes

",https://www.sephora.com/productimages/sku/s1956184-main-zoom.jpg?imwidth=930,0452282152
16,Lancôme,Mascara,DÉFINICILS WATERPROOF - High Definition Mascara,Isododecane- Cera Alba/Beeswax- Water- Disteardimonium Hectorite- Carnauba Wax- Allyl- Stearate/VA Copolymer- Paraffin- Propylene Carbonate- VA/Vinyl Butyl Benzoate/Crotonates Copolymer- Talc- Polyvinyl Laurate- Sodium- Polymethacrylate- Propylparaben- Methylparaben- Sodium Dehydroacetate- Polyquaternium-10- [+/- (May Contain): CI 77499- CI 77492- CI 77491 (Iron Oxides)- CI 77007 (Ultramarines)- CI 77891 (Titanium Dioxide)- Mica- CI 75470 (Carmine)- CI 77288 (Chromium Oxide Greens)- CI 77289 (Chromium Hydroxide Green)- CI 19140 (Yellow 5 Lake)- CI 42090 (Blue 1 Lake).,Everything you loved about Définicils Mascara—the famous lengthening- separating and lash defining power—is now in a waterproof formula. Make a splash in black- brown or navy. Ophthalmologist tested and suitable for contact lens wearers.,https://www.sephora.com/productimages/sku/s724294-main-zoom.jpg?imwidth=930,0440214041
17,Lancôme,Lipstick,L'Absolu Rouge Lipstick,Pentaerythrityl Isostearate/Caprate/Caprylate/Adipate- Macadamia Ternifolia Seed Oil- Octyldodecyl Stearate- Cera Microcristallina / Microcrystalline Wax / Cire Microcristalline- Peg-45/Dodecyl Glycol Copolymer- Polyglyceryl-3 Beeswax- Hydrogenated Castor Oil Dimer Dilinoleate- Bis-Diglyceryl- Polyacyladipate-2- Tin Oxide- Calcium Aluminum Borosilicate- Calcium Sodium Borosilicate- Methicone- Silica- Alumina- Magnesium Silicate- Hydroxypalmitoyl Sphinganine- Hydroxypropyl Tetrahydropyrantriol- Synthetic Fluorphlogopite- Disteardimonium Hectorite- Polyester-3- Bht- Tocopheryl Acetate- Fragrance- Geraniol- Methyl-2-Octynoate- Hydroxycitronellal- Citronellol- Hexyl Cinnamal- Benzyl Alcohol- [+/- May Contain / Peut Contenir- Ci 15850 / Red 6- Ci 15850 / Red 7- Ci 15850 / Red 7 Lake- Ci 15985 / Yellow 6 Lake- Ci 19140 / Yellow 5 Lake- Ci 42090 / Blue 1 Lake- Ci 45370 / Orange 5- Ci 45380 / Red 22- Ci 45380 / Red 22 Lake- Ci 45410 / Red 28- Ci 45410 / Red 28 Lake- Ci 75470 / Carmine- Ci 77491- Ci 77492- Ci 77499 / Iron Oxides- Ci 77891 / Titanium Dioxide- Mica].,What it is: A luxurious- hydrating lipstick that comes in three finishes (sheer- cream- and matte)- lasts up to eight-hours- and is rich in antioxidants.What Else You Need to Know: This lipstick is infused with moisturizing Pro-Xylane™ and vitamin E and leaves lips feeling replenished- soft- and comfortable. Satin Color™ Complex allows for an even deposit of color upon application- while its pigments last for up to eight hours of wear. It is also non-drying- non-flaking- and non-caking.,https://www.sephora.com/productimages/sku/s2494037-main-zoom.jpg?imwidth=930,0804106304
18,Lancôme,Mascara,HYPNÔSE DRAMA WATERPROOF,Isododecane- Cera Alba/Beeswax/Cire Dabeille- Copernicia Cerifera Cera/Carnauba Wax/Cire De Carnauba- Disteardimonium Hectorite- Water- Allyl Stearate/Va Copolymer- Oryza Sativa Cera/ Rice Bran Wax- Paraffin- Alcohol Denat.- Polyvinyl Laurate Vp/Eicosene Copolymer- Propylene Carbonate- Talc- Synthetic Beeswax- Peg-30 Glyceryl Stearate- Candelilla Cera/Candelilla Wax/ Cire De Candelilla- Panthenol- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Methylparaben- Propylparaben- [+/- May Contain: Ci 77499/Iron Oxides].,"What it is:A full-impact- waterproof volumizing mascara with 24-hour hold.

What it does:Get full volume lashes that last with Lancôme’s waterproof Hypnose Drama Mascara. Its luxe Texturizing Complex features highly saturated waxes and intense black pigments to create maximum lash volume. The full contact brush- with its S-shaped curve- grasps and coats lashes for a fanned out- full fringe. The triple coating system delivers a fluid and creamy application to quickly and easily build bold lashes that won’t clump or flake.

What else you need to know:This product is fragrance free- ophthalmologist-tested- allergy-tested- and safe for contact lens wearers. The mascara contains extrusion technology to create a fine dispersion of product and the film-forming polymer will not dissolve in water.",https://www.sephora.com/productimages/sku/s1254606-main-zoom.jpg?imwidth=930,0440211727
19,Lancôme,Eyeliner,DRAMA LIQUI-PENCIL™ Longwear Eyeliner,"-Double Polymer Complex: Allows the formula to attach to the skin- so it never breaks.
-Volatile Gliding Oil: Provides nourishing color richness and pigment load that settles onto the lid.
-Soft Waxes: Adhere to the skin- leaving a creamy- easy glide- and blendable texture.
-Volatile Gliding Oils and Vitamin E: Nourish the skin for comfortable- all-day wear.

Rimethylsiloxysilicate- Isododecane- Hydrogenated Polyisobutene- Synthetic Wax- Hydrogenated Polydicyclopentadiene- C20-40 Alcohols- Nylon-611/Dimethicone Copolymer- Calcium Sodium Borosilicate- Disteardimonium Hectorite- Polyethylene- Tin Oxide- Calcium Aluminum Borosilicate- Silica- Alumina- Propyl Carbonate- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.
",What it is: An eyeliner pencil that is smudgeable- with long-lasting color payoff in matte and metallic finishes.What Else You Need to Know: With its unique hybrid formula- this eyeliner has the high-intensity color payoff of a liquid liner with the ease of application of a pencil.  While creamy and smudgegable when first applied- Drama Liqui-Pencil sets quickly and will not fade or move.  ,https://www.sephora.com/productimages/sku/s2480051-main-zoom.jpg?imwidth=930,0345337662
20,Lancôme,Mascara,HYPNÔSE DOLL LASHES Mascara,Aqua / Water / Eau- Paraffin- Copernicia Cerifera Cera / Carnauba Wax / Cire De Carnauba- Steareth-20- Cera Alba / Beeswax / Cire Dabeille- Acacia Senegal / Acacia Senegal Gum- Alcohol Denat.- Steareth-2- Cetyl Alcohol- Potassium Cetyl Phosphate- Peg/Ppg-17/18 Dimethicone- Tdi/Trimellitic Anhydride Copolymer- Sodium Polymethacrylate- Silica- 2-Oleamido-1-3-Octadecanediol- Phenethyl Alcohol- Nylon-12- Disodium Edta- Hydroxyethylcellulose- Caprylyl Glycol- Panthenol- Pentylene Glycol- Polyquaternium-10- Sodium Dehydroacetate- [+/- May Contain / Peut Contenir: Ci 77007 / Ultramarines- Ci 77491- Ci 77499 / Iron Oxides- Mica].,"What it is:A wide-eyed effect mascara.
What it does:Swipe on a full lash fringe look. This mascara is enriched with nylon powders- offering an ideal lash application for sexy- fanned out lashes. This mascara creates a volumized- yet separated and extended- lifted lash look that’s perfect for fine- thin lashes. 
Its unique- cone-shaped brush allows for an easy- lightweight application- and the precision tip precisely defines hard-to-reach corners and lower lashes.
What it is formulated WITHOUT:- Parabens- Sulfates - Phthalates
What else you need to know:This product is free of synthetic fragrances and dyes and triclosan. This product was ophthalmologically tested and is suitable for sensitive eyes and contact lens wearers
Research results:In a test group a test group:
- 28 women experienced an eye-opening effect of up to 35%",https://www.sephora.com/productimages/sku/s1357664-main-zoom.jpg?imwidth=930,0060930535
22,Lancôme,Makeup,BI-FACIL - Double-Action Eye Makeup Remover Mini,Water- Cyclopentasiloxane- Isohexadecane- Sodium Chloride- Poloxamer 184- Hexylene Glycol- Dipotassium Phosphate- Benzyl Alcohol- Potassium Phosphate- Quaternium-15- Benzalkonium Chloride- Fragrance- Citronellol- Geraniol.,"What it is:An award-winning- gentle- liquid eye makeup remover. 

What it is formulated to do:This formula activates when shaken to gently whisk away even waterproof eye makeup while conditioning and refreshing the skin. Ideal for sensitive skin and contact lenses- it leaves eyes feeling cool and relaxed without an oily residue. 

What else you need to know:This product has been ophthalmologist tested for safety.Beauty Tip:After removing all traces of eye makeup- apply Rénergie Lift Multi-Action Eye around the eye contour for a brighter- more youthful appearance by morning.
",https://www.sephora.com/productimages/sku/s1783174-main-zoom.jpg?imwidth=930,0312278586
23,Urban Decay,Eyeliner,24/7 Glide-On Eye Pencil,Isododecane- Cyclopentasiloxane- PEG/PPG-19/19 Dimethicone- Synthetic Wax- Hydrogenated Polydicyclopentadiene- Nylon-12- C20-40 Alcohols- Perfluorononyl Dimethicone- Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate- Polyethylene- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Tocopherol. [+/- (May Contain/Peut contenir): CI 77499 (Iron Oxides)- CI 77019 (Mica)- CI 77510 (Ferric Ferrocyanide)- CI 77266 (Black 2)].,What it is: An award-winning waterproof eye pencil that glides on ultra-creamy and delivers intense- long-wearing color that won’t budge.Highlighted Ingredients: - Vitamin E: Hydrates- moisturizes- and conditions the lash line. - Jojoba Oil and Cottonseed Oil: Condition and soften the skin. Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know: Upgrade your makeup bag with this waterproof eyeliner. Made with hydrating ingredients like vitamin E- jojoba oil- and cottonseed oil- Urban Decay's 24/7 Eye Pencil comes in matte- satin- and metallic finishes- goes on smoothly- blends easily- and dries to a long-lasting finish.,https://www.sephora.com/productimages/sku/s1393693-main-zoom.jpg?imwidth=930,0743418174
